日新月异	日新月异 🌞❤🌙👆
轻松	轻松 😉
氢弹	氢弹 ☢ ☢️
氫彈	氫彈 ☢ ☢️
清晨	清晨 🌄
清除	清除 🆑 🆑️
清酒	清酒 🍶
清空	清空 🆑 🆑️
清凉	清凉 🆒
清涼	清涼 🆒
清零	清零 🆑
清零键	清零键 🆑
清零鍵	清零鍵 🆑
清洗	清洗 🧴
清真寺	清真寺 🕌
輕點	輕點 🤫
輕軌	輕軌 Ⓜ 🚈 Ⓜ️ 🚈
輕軌電車	輕軌電車 🚈
輕鬆	輕鬆 😉
情报	情报 🔎
情報	情報 🔎
情侣	情侣 👫 👬 👭 💑 👨‍❤‍👨 👩‍❤‍👩
情侣酒店	情侣酒店 🏩
情侶	情侶 👫 💑
情侶酒店	情侶酒店 🏩
情人酒店	情人酒店 🏩
情书	情书 💌
情書	情書 💌
晴	晴 ☀ ☀️
晴间多云	晴间多云 ⛅
晴間多雲	晴間多雲 ⛅
晴空	晴空 ☀ ☀️
晴朗	晴朗 ☀ ☀️
晴时多云	晴时多云 🌤 🌤️
晴時多雲	晴時多雲 🌤 🌤️
晴天	晴天 ☀
请	请 💁🏻‍♀ 💁🏻‍♂ 💁🏻
请勿乱扔	请勿乱扔 🚯
請	請 💁🏻‍♀ 💁🏻‍♂ 💁🏻
請勿亂扔	請勿亂扔 🚯
庆典	庆典 🎈 🎉 🎊 🎊
庆祝	庆祝 🍾 🥳 ❇ ㊗ 🍻 🎀 🎁 🎂 🎃 🎄 🎅 🎆 🎇 🎈 🎉 🎊 🎋 🎎 🎏 🎐 🎑 🎓 🏮 🙌 🙌🏻 🍻 🙌🏻 🥳
慶典	慶典 🎈 🎉 🎊 🎊
慶祝	慶祝 ❇ ㊗ 🍻 🎀 🎁 🎂 🎃 🎄 🎅 🎆 🎇 🎈 🎉 🎊 🎋 🎎 🎏 🎐 🎑 🎓 🏮 🙌 🙌🏻 🥳 🍻 🙌🏻 🥳
親	親 😘
親愛	親愛 😚
親暱	親暱 😽
親親	親親 💋 😘 😚 😽
親吻	親吻 👨‍❤‍💋‍👨 👩‍❤‍💋‍👩 💏 😚 💏
親一個	親一個 😙 😽
親一口	親一口 💋 😚 😽
親嘴	親嘴 💋 💏 😙 😽 💏 😙 😽
邱比特	邱比特 💘
秋	秋 🀨
䲡鱼	䲡鱼 🦑
求	求 🥺
求和	求和 ∑
求救	求救 🆘 🆘️
求求你	求求你 🥺
球	球 ⚽ 🏀 🏈 🏐 🏉 🥎 🎾 🎱 🏓 🏸 🏒 🏑 🏏 🛹 🥍 ⚽ 🏀 🏈 🏐 🏉 ⚾️ 🥎 🎾 🎱 🪀 🏓 🏸 🏒 🏑 🏏 🛹 🥍
球洞	球洞 🕳 🕳️
球杆	球杆 🏑 🏒
球桿	球桿 🏑 🏒
球门	球门 🥅
球門	球門 🥅
球拍	球拍 🏓 🏸
球鞋	球鞋 👟
趋势	趋势 📈 📉 📊
蛐蛐	蛐蛐 🦗
曲別針	曲別針 🧷
曲别针	曲别针 📎 🖇 🧷 🧷
曲棍球	曲棍球 🏑 🏒 🥍 🏑 🏒
曲棍网球	曲棍网球 🥍
曲棍網球	曲棍網球 🥍
曲谱	曲谱 🎼
曲譜	曲譜 🎼
曲奇	曲奇 🍪
取款	取款 🏧
取款机	取款机 🏧
取款機	取款機 🏧
取钱	取钱 🏧
取錢	取錢 🏧
去氧核糖核酸	去氧核糖核酸 🧬
麮𪌽	麮𪌽 🥖
圈圈	圈圈 ⭕ ⭕️
全等	全等 ≅
全家	全家 👨‍👩‍👦 👨‍👩‍👦‍👦 👨‍👩‍👧 👨‍👩‍👧‍👦 👨‍👩‍👧‍👧
拳	拳 ✊ 👊 🤛 🤜 ✊🏻 ✊🏼 ✊🏽 ✊🏾 ✊🏿 👊🏻 👊🏼 👊🏽 👊🏾 👊🏿 🤛🏻 🤛🏼 🤛🏽 🤛🏾 🤛🏿 🤜🏻 🤜🏼 🤜🏽 🤜🏾 🤜🏿 👊🏻
拳击	拳击 🥊
拳擊	拳擊 🥊
拳套	拳套 🥊
拳头	拳头 ✊ 👊 👊🏻 👊🏻
拳头手势	拳头手势 👊
拳頭	拳頭 ✊ 👊 👊🏻 👊🏻
拳頭手勢	拳頭手勢 👊
犬	犬 🐕
缺心眼	缺心眼 🤪
缺月	缺月 🌖
确定	确定 ✅ ☑
确认	确认 ✅
确认手势	确认手势 👌
確定	確定 ☑ ✅
確認手勢	確認手勢 👌
裙	裙 👗
裙子	裙子 👗 👚 👗
羣花	羣花 🌼
群岛	群岛 🗾
群島	群島 🗾
群花	群花 🌼
燃料	燃料 ⛽
燃料泵	燃料泵 ⛽
燃烧	燃烧 🔥
燃燒	燃燒 🔥
让利	让利 🈹
让人失望	让人失望 ☹ ☹️
讓利	讓利 🈹
讓人失望	讓人失望 ☹ ☹️
热	热 🥵 ☀ 🔥 ☀️ 🔥 🥵 🫠
热爱	热爱 😻
热茶	热茶 🍵
热带饮品	热带饮品 🍹
热带鱼	热带鱼 🐠
热狗	热狗 🌭
热恋中	热恋中 💑 💑🏻
热气腾腾	热气腾腾 🍲
热情	热情 ❤ ❤️‍🔥
热水	热水 ♨
热汤	热汤 ♨
热饮	热饮 ☕ 🍵 ☕️ 🍵
熱	熱 ☀ 🔥 🥵 ☀️ 🔥 🥵 🫠
熱愛	熱愛 😻
熱茶	熱茶 🍵
熱帶飲品	熱帶飲品 🍹
熱帶魚	熱帶魚 🐠
熱狗	熱狗 🌭
熱戀中	熱戀中 💑 💑🏻
熱氣騰騰	熱氣騰騰 🍲
熱情	熱情 ❤ ❤️‍🔥
熱水	熱水 ♨
熱湯	熱湯 ♨
熱飲	熱飲 ☕ 🍵 ☕️ 🍵
人	人 🧍 🧍‍♂ 🧍‍♀ 🧍🏻‍♂ 🧍🏼‍♂ 🧍🏽‍♂ 🧍🏾‍♂ 🧍🏿‍♂ 🧍🏻‍♀ 🧍🏼‍♀ 🧍🏽‍♀ 🧍🏾‍♀ 🧍🏿‍♀ 🧍🏻 🧍🏼 🧍🏽 🧍🏾 🧍🏿
人工智能	人工智能 🤖
人民币	人民币 ￥ 💴 💴
人民幣	人民幣 💴
人鱼	人鱼 🧜🏻‍♀ 🧜🏻‍♂ 🧜🏻
人魚	人魚 🧜🏻‍♀ 🧜🏻‍♂ 🧜🏻
人造卫星	人造卫星 🛰 🛰️
人造衛星	人造衛星 🛰 🛰️
认不得	认不得 😲 🤷🏻‍♀ 🤷🏻‍♂ 😲 🤷🏻
认真	认真 🧐
任意	任意 ∀
妊娠	妊娠 🤰🏻 🫄🏻
認不得	認不得 😲 🤷🏻‍♀ 🤷🏻‍♂ 😲 🤷🏻
認真	認真 🧐
日	日 ㊐ ㈰ ㏠ ㏡ ㏢ ㏣ ㏤ ㏥ ㏦ ㏧ ㏨ ㏩ ㏪ ㏫ ㏬ ㏭ ㏮ ㏯ ㏰ ㏱ ㏲ ㏳ ㏴ ㏵ ㏶ ㏷ ㏸ ㏹ ㏺ ㏻ ㏼ ㏽ ㏾ 🌞 🌞
日本	日本 🇯🇵 🗾 🎌 ㍻ ㍼ ㍽ ㍾ ㍿ 🇯🇵
日本菜	日本菜 🍥 🍣 🍱 🍙 🍘
日本城堡	日本城堡 🏯
日本国	日本国 🇯🇵
日本国旗	日本国旗 🇯🇵
日本國	日本國 🇯🇵
日本國旗	日本國旗 🇯🇵
日本男儿节	日本男儿节 🎏
日本男兒節	日本男兒節 🎏
日本女儿节	日本女儿节 🎎
日本女兒節	日本女兒節 🎎
日本娃娃	日本娃娃 🎎
日本新年	日本新年 🎍
日本邮局	日本邮局 🏣
日本郵局	日本郵局 🏣
日出	日出 🌄 🌅 🌄
日耳曼战车	日耳曼战车 🇩🇪
日耳曼戰車	日耳曼戰車 🇩🇪
日光	日光 🌞
日火	日火 👿
日历	日历 📅 📆 🗓 📅
日曆	日曆 📅 📆 📅
日料	日料 🍥 🍣 🍱 🍙 🍘
日落	日落 🌆 🌇 🌇
日暮	日暮 🌇
日期	日期 📅
日式服装	日式服装 👘
日式服裝	日式服裝 👘
日式料理	日式料理 🍥 🍣 🍱 🍙 🍘
日式人偶	日式人偶 🎎
日用	日用 🧴 🧼 🧻 🧽 💄 🧴 🧼 🧻 🧽 🪥 🪒 💄 🪣
日语	日语 ㌀ ㌁ ㌂ ㌃ ㌄ ㌅ ㌆ ㌇ ㌈ ㌉ ㌊ ㌋ ㌌ ㌍ ㌎ ㌏ ㌐ ㌑ ㌒ ㌓ ㌔ ㌕ ㌖ ㌗ ㌘ ㌙ ㌚ ㌛ ㌜ ㌝ ㌞ ㌟ ㌠ ㌡ ㌢ ㌣ ㌤ ㌥ ㌦ ㌧ ㌨ ㌩ ㌪ ㌫ ㌬ ㌭ ㌮ ㌯ ㌰ ㌱ ㌲ ㌳ ㌴ ㌵ ㌶ ㌷ ㌸ ㌹ ㌺ ㌻ ㌼ ㌽ ㌾ ㌿ ㍀ ㍁ ㍂ ㍃ ㍄ ㍅ ㍆ ㍇ ㍈ ㍉ ㍊ ㍋ ㍌ ㍍ ㍎ ㍏ ㍐ ㍑ ㍒ ㍓ ㍔ ㍕ ㍖ ㍗
日元	日元 💴 円
日円	日円 💴
日圆	日圆 💴
日圓	日圓 💴
日章旗	日章旗 🇯🇵
容量	容量 ㎕ ㎖ ㎗ ㎘
溶剂	溶剂 🧪
溶劑	溶劑 🧪
溶液	溶液 🧪
柔道	柔道 🥋 🤼 🤼‍♂ 🤼🏻
肉	肉 🍖 🍗 🥩 🥓 🍤 🥩 🥓 🍗 🍖 🍤
肉串	肉串 🍢 🍖
肉骨	肉骨 🍖
肉卷	肉卷 🥓
肉捲	肉捲 🥓
肉丸	肉丸 🍡
如厕	如厕 🚾
如廁	如廁 🚾
乳	乳 🥛
乳酪	乳酪 🧀
乳牛	乳牛 🐄
乳液	乳液 🧴
入場券	入場券 🎟 🎫 🎟️
入场券	入场券 🎟 🎫 🎟️
软碟	软碟 💾
软盘	软盘 💾
軟碟	軟碟 💾
軟盤	軟盤 💾
瑞典	瑞典 🇸🇪
瑞士	瑞士 🇨🇭
弱	弱 👎 👎🏻 👎🏼 👎🏽 👎🏾 👎🏿
洒水	洒水 💦
撒哈拉	撒哈拉 🇪🇭
撒拉威阿拉伯	撒拉威阿拉伯 🇪🇭
灑水	灑水 💦
萨巴	萨巴 🇧🇶
萨尔瓦多	萨尔瓦多 🇸🇻
萨尔瓦多共和国	萨尔瓦多共和国 🇸🇻
萨克斯	萨克斯 🎷
萨克斯风	萨克斯风 🎷
萨摩亚	萨摩亚 🇼🇸
萨摩亚群岛	萨摩亚群岛 🇼🇸
薩巴	薩巴 🇧🇶
薩爾瓦多	薩爾瓦多 🇸🇻
薩爾瓦多共和國	薩爾瓦多共和國 🇸🇻
薩克斯	薩克斯 🎷
薩克斯風	薩克斯風 🎷
薩摩亞	薩摩亞 🇼🇸
薩摩亞群島	薩摩亞群島 🇼🇸
塞尔维亚	塞尔维亚 🇷🇸
塞爾維亞	塞爾維亞 🇷🇸
塞拉利昂	塞拉利昂 🇸🇱
塞內加爾	塞內加爾 🇸🇳
塞内加尔	塞内加尔 🇸🇳
塞内加爾	塞内加爾 🇸🇳
塞浦路斯	塞浦路斯 🇨🇾
塞舌尔	塞舌尔 🇸🇨
塞舌爾	塞舌爾 🇸🇨
塞席尔	塞席尔 🇸🇨
塞席爾	塞席爾 🇸🇨
塞著	塞著 😧
赛车	赛车 🏎 🏁 🏎️
赛车比赛	赛车比赛 🏁
赛马	赛马 🏇 🏇🏻 🏇🏼 🏇🏽 🏇🏾 🏇🏿 🏇🏻
赛跑	赛跑 🏃
赛普勒斯	赛普勒斯 🇨🇾
赛艇	赛艇 🚣 🚤 🚣🏻‍♀ 🚣🏻‍♂ 🚣🏻 🚤
賽車	賽車 🏁 🏎 🏎️
賽車比賽	賽車比賽 🏁
賽馬	賽馬 🏇 🏇🏻 🏇🏻
賽跑	賽跑 🏃
賽普勒斯	賽普勒斯 🇨🇾
賽艇	賽艇 🚣 🚤 🚣🏻‍♀ 🚣🏻‍♂ 🚣🏻 🚤
三	三 三、 叁 Ⅲ 〣 ³ ₃ 🈪 ⓷ 𝟛 ⒊ 🄄 ㊂ ㈢ 🉁 3⃣ 𓃋 3️⃣
三叉戟	三叉戟 🔱
三点	三点 🕒
三点半	三点半 🕞
三点钟	三点钟 🕒
三点装	三点装 👙
三點	三點 🕒
三點半	三點半 🕞
三點鐘	三點鐘 🕒
三點裝	三點裝 👙
三戟叉	三戟叉 🔱
三角	三角 🔺 🔻 ▶ ◀ ▸ ◂
三角尺	三角尺 📐
三角旗	三角旗 🚩
三明治	三明治 🥪 🧆 🥙
三十	三十 卅 〺
三文治	三文治 🥙 🥪
三叶草	三叶草 ☘
三葉草	三葉草 ☘
三字经	三字经 人之初 性本善 性相近 习相远 苟不教 性乃迁 教之道 贵以专 昔孟母 择邻处 子不学 断机杼 窦燕山 有义方 教五子 名俱扬 养不教 父之过 教不严 师之惰 非所宜 幼不学 老何为 玉不琢 不成器 人不学 不知义 为人子 方少时 亲师友 习礼仪 香九龄 能温席 孝于亲 所当执 融四岁 能让梨 弟于长 宜先知 首孝弟 次见闻 知某数 识某文 一而十 十而百 百而千 千而万 三才者 天地人 三光者 日月星 三纲者 君臣义 父子亲 夫妇顺 曰春夏 曰秋冬 此四时 运不穷 曰南北 曰西东 此四方 应乎中 曰水火 木金土 此五行 本乎数 曰仁义 礼智信 此五常 不容紊 稻粱菽 麦黍稷 此六谷 人所食 马牛羊 鸡犬豕 此六畜 人所饲 曰喜怒 曰哀惧 爱恶欲 七情具 匏土革 木石金 丝与竹 乃八音 高曾祖 父而身 身而子 子而孙 自子孙 至玄曾 乃九族 人之伦 父子恩 夫妇从 兄则友 弟则恭 长幼序 友与朋 君则敬 臣则忠 此十义 人所同 凡训蒙 须讲究 详训诂 明句读 为学者 必有初 小学终 至四书 论语者 二十篇 群弟子 记善言 孟子者 七篇止 讲道德 说仁义 作中庸 子思笔 中不偏 庸不易 作大学 乃曾子 自脩齐 至平治 孝经通 四书熟 如六经 始可读 诗书易 礼春秋 号六经 当讲求 有连山 有归藏 有周易 三易详 有典谟 有训诰 有誓命 书之奥 我周公 作周礼 著六官 存治体 大小戴 注礼记 述圣言 礼乐备 曰国风 曰雅颂 号四诗 当讽咏 诗既亡 春秋作 寓褒贬 别善恶 三传者 有公羊 有左氏 有谷梁 经既明 方读子 撮其要 记其事 五子者 有荀杨 文中子 及老庄 经子通 读诸史 考世系 知终始 自羲农 至黄帝 号三皇 居上世 唐有虞 号二帝 相揖逊 称盛世 夏有禹 商有汤 周文武 称三王 夏传子 家天下 四百载 迁夏社 汤伐夏 国号商 六百载 至纣亡 周武王 始诛纣 八百载 最长久 周辙东 王纲坠 逞干戈 尚游说 始春秋 终战国 五霸强 七雄出 嬴秦氏 始兼并 传二世 楚汉争 高祖兴 汉业建 至孝平 王莽篡 光武兴 为东汉 四百年 终于献 魏蜀吴 争汉鼎 号三国 迄两晋 宋齐继 梁陈承 为南朝 都金陵 北元魏 分东西 宇文周 与高齐 迨至隋 一土宇 不再传 失统绪 唐高祖 起义师 除隋乱 创国基 二十传 三百载 梁灭之 国乃改 梁唐晋 及汉周 称五代 皆有由 炎宋兴 受周禅 十八传 南北混 十七史 全在兹 载治乱 知兴衰 读史者 考实录 通古今 若亲目 口而诵 心而惟 朝于斯 夕于斯 昔仲尼 师项橐 古圣贤 尚勤学 赵中令 读鲁论 彼既仕 学且勤 披蒲编 削竹简 彼无书 且知勉 头悬梁 锥刺股 彼不教 自勤苦 如囊萤 如映雪 家虽贫 学不辍 如负薪 如挂角 身虽劳 犹苦卓 蘇老泉 二十七 始发愤 读书籍 彼既老 犹悔迟 尔小生 宜早思 若梁灝 八十二 对大廷 魁多士 彼既成 众称异 宜立志 莹八岁 能咏诗 泌七岁 能赋碁 彼颖悟 人称奇 尔幼学 当效之 蔡文姬 能辨琴 谢道韫 能咏吟 彼女子 且聪敏 尔男子 当自警 唐刘晏 方七岁 举神童 作正字 彼虽幼 身己仕 勉而致 有为者 亦若是 犬守夜 鸡司晨 苟不学 曷为人 蚕吐丝 蜂酿蜜 不如物 幼而学 壮而行 上致君 下泽民 扬名声 显父母 光于前 裕于後 人遗子 金满籯 我教子 惟一经 勤有功 戏无益 戒之哉 宜勉力
伞	伞 ⛱ 🌂 ☂ ☔ 🏖
傘	傘 🌂
散度	散度 ∇· div divergence
桑巴舞者	桑巴舞者 🇧🇷
桑拿	桑拿 🧖‍♀ 🧖 🧖‍♂ 🧖🏻‍♂ 🧖🏼‍♂ 🧖🏽‍♂ 🧖🏾‍♂ 🧖🏿‍♂ 🧖🏻 🧖🏼 🧖🏽 🧖🏾 🧖🏿 🧖🏻‍♀ 🧖🏼‍♀ 🧖🏽‍♀ 🧖🏾‍♀ 🧖🏿‍♀
扫帚	扫帚 🧹
掃帚	掃帚 🧹
色拉	色拉 🥗
色子	色子 🎲 ⚀ ⚁ ⚂ ⚃ ⚄ ⚅ 🎲
森巴舞者	森巴舞者 🇧🇷
森林	森林 🌲
沙冰	沙冰 🍧
沙发	沙发 🛋 🛋️
沙發	沙發 🛋 🛋️
沙拉	沙拉 🥗
沙漏	沙漏 ⌛ ⏳ ⌛️
沙漠	沙漠 🏜 🌵 🌵 🏜️
沙滩	沙滩 🏖
沙滩伞	沙滩伞 ⛱
沙滩阳伞	沙滩阳伞 ⛱
沙灘	沙灘 🏖
沙灘傘	沙灘傘 ⛱
沙灘陽傘	沙灘陽傘 ⛱
沙特阿拉伯	沙特阿拉伯 🇸🇦
沙乌地阿拉伯	沙乌地阿拉伯 🇸🇦
沙烏地阿拉伯	沙烏地阿拉伯 🇸🇦
沙中之国	沙中之国 🇳🇪
沙中之國	沙中之國 🇳🇪
砂锅	砂锅 🥘
砂鍋	砂鍋 🥘
砂漏	砂漏 ⌛ ⌛️
莎丽	莎丽 🥻
鲨	鲨 🦈
鲨鱼	鲨鱼 🦈
鯊	鯊 🦈
鯊魚	鯊魚 🦈
啥啊	啥啊 😲
啥也沒說	啥也沒說 🙊
啥也没说	啥也没说 🙊
傻	傻 🤪 🐷 🐷
傻屄	傻屄 🐷
傻逼	傻逼 🐷
傻冒	傻冒 🐷
傻笑	傻笑 😏 😆
山	山 🏔 ⛰ 🌋 🗻 ⛰️
山地车	山地车 🚴 🚵 🚵🏻‍♀ 🚵🏻‍♂ 🚵🏻
山地車	山地車 🚴 🚵 🚵🏻‍♀ 🚵🏻‍♂ 🚵🏻
山地单车	山地单车 🚵 🚵🏻‍♀ 🚵🏻‍♂ 🚵🏻
山地單車	山地單車 🚵 🚵🏻‍♀ 🚵🏻‍♂ 🚵🏻
山地骑行	山地骑行 🚵 🚵🏻‍♀ 🚵🏻‍♂ 🚵🏻
山地騎行	山地騎行 🚵 🚵🏻‍♀ 🚵🏻‍♂ 🚵🏻
山地自行车	山地自行车 🚵 🚵🏻‍♀ 🚵🏻‍♂ 🚵🏻
山地自行車	山地自行車 🚵 🚵🏻‍♀ 🚵🏻‍♂ 🚵🏻
山顶缆车	山顶缆车 🚠
山頂纜車	山頂纜車 🚠
山峰	山峰 ⛰ ⛰️
山轨	山轨 🚞
山軌	山軌 🚞
山间日出	山间日出 🌄
山間日出	山間日出 🌄
山岭	山岭 ⛰ ⛰️
山嶺	山嶺 ⛰ ⛰️
山脉	山脉 ⛰ ⛰️
山脈	山脈 ⛰ ⛰️
山姆大叔	山姆大叔 🇺🇸
山水	山水 🏞 🏞️
山羊	山羊 🐐
删除	删除 🆑 ⌫ ⌦
闪电	闪电 ⚡ 🌩 🌩️
闪光灯	闪光灯 📸
闪亮	闪亮 ✨
闪亮的心	闪亮的心 💖
闪亮之心	闪亮之心 💖
闪闪发光	闪闪发光 🌟
闪烁	闪烁 ✨
閃電	閃電 ⚡ 🌩 🌩️
閃光燈	閃光燈 📸
閃亮	閃亮 ✨
閃亮的心	閃亮的心 💖
閃亮之心	閃亮之心 💖
閃喨的心	閃喨的心 💖
閃閃發光	閃閃發光 🌟
閃爍	閃爍 ✨
扇贝	扇贝 🐚
扇貝	扇貝 🐚
伤	伤 🤕
伤了	伤了 🤕
伤心	伤心 😥 😔 😫 😩 ☹ 💔 😣 😿 ❤️‍🩹
商标	商标 ™ ℠ ® ™️
商標	商標 ™ ™️
商場	商場 🏬
商场	商场 🏬
商店	商店 🏪 🏬
商贩	商贩 👲 👲🏻 👲🏻
商販	商販 👲 👲🏻 👲🏻
商务	商务 ☎ ✉ 💱 💼 📁 📂 📃 📄 📅 📆 📇 📈 📉 📊 📋 📌 📍 📎 📏 📐 📑 📒 📓 📔 📕 📖 📗 📘 📙 📚 📛 📜 📞 📟 📤 📥 📧 📨 📪 📬 📭 🔃
商務	商務 ☎ ✉ 💱 💼 📁 📂 📃 📄 📅 📆 📇 📈 📉 📊 📋 📌 📍 📎 📏 📐 📑 📒 📓 📔 📕 📖 📗 📘 📙 📚 📛 📜 📞 📟 📤 📥 📧 📨 📪 📬 📭 🔃
傷	傷 🤕
傷了	傷了 🤕
傷心	傷心 💔 😣 😩 😿 ❤️‍🩹
上	上 ㊤ ⬆ ↑ ⇑ ⇧ ⇡ ⇈ ⬆️
上班	上班 💼
上班族	上班族 👨‍💼 🧑‍💼 👩‍💼 👨🏻‍💼 👨🏼‍💼 👨🏽‍💼 👨🏾‍💼 👨🏿‍💼 🧑🏻‍💼 🧑🏼‍💼 🧑🏽‍💼 🧑🏾‍💼 🧑🏿‍💼 👩🏻‍💼 👩🏼‍💼 👩🏽‍💼 👩🏾‍💼 👩🏿‍💼
上边	上边 👆 👆🏻 👆🏻
上邊	上邊 👆 👆🏻 👆🏻
上标	上标 ⁰ ¹ ² ³ ⁴ ⁵ ⁶ ⁷ ⁸ ⁹ ˜ ⁺ ⁻ ⁼ ⁽ ⁾ ᴬ ᵄ ᵅ ᶛ ᴭ ᴮ ᴯ ᵝ ᶜ ᵓ ᶝ ᴰ ᶞ ᵟ ᴱ ᴲ ᵊ ᵋ ᶟ ᵌ ᶠ ᶡ ᶲ ᵠ ᴳ ᶢ ˠ ᵞ ᴴ ᶣ ʱ ᴵ ⁱ ᶤ ᵎ ᶥ ᴶ ᶨ ᴷ ᴸ ᶫ ᶩ ᶪ ᴹ ᶬ ᵚ ᶭ ᴺ ᴻ ⁿ ᵑ ᶮ ᶯ ᴼ ᶱ ᴽ ᴾ ᴿ ʶ ʴ ʵ ˢ ᶴ ᶳ ᵀ ᶵ ᶿ ᵁ ᶶ ᶷ ᵙ ⱽ ᶺ ᶹ ᵂ ˣ ᵡ ʸ ᶻ ᶾ ᶽ ᶼ
上厕所	上厕所 🚾
上廁所	上廁所 🚾
上传	上传 ⏫
上傳	上傳 ⏫
上方	上方 🔝
上课	上课 👨🏻‍🏫 👩🏻‍🏫 🧑🏻‍🏫
上課	上課 👨🏻‍🏫 👩🏻‍🏫 🧑🏻‍🏫
上面	上面 👆 👆🏻 👆🏻
上色	上色 🎨
上锁	上锁 🔒
上鎖	上鎖 🔒
上头	上头 👆 👆🏻 👆🏻
上頭	上頭 👆 👆🏻 👆🏻
上午	上午 ㏂
上下	上下 ↕
上下颠倒	上下颠倒 🙃
上下顛倒	上下顛倒 🙃
上下箭头	上下箭头 ↕
上下箭頭	上下箭頭 ↕
上弦月	上弦月 🌓 🌛
上学	上学 🎒
上學	上學 🎒
上一个	上一个 ◀
上一個	上一個 ◀
上一首	上一首 ⏮ ⏮️
上衣	上衣 👕 👚
尚比亚	尚比亚 🇿🇲
尚比亞	尚比亞 🇿🇲
烧火	烧火 🔥
烧瓶	烧瓶 ⚗ ⚗️
烧著	烧著 🔥
蛸	蛸 🐙
燒火	燒火 🔥
燒瓶	燒瓶 ⚗ ⚗️
燒著	燒著 🔥
勺	勺 🥄
勺子	勺子 🥄
少	少 🤏 🤏🏻 🤏🏼 🤏🏽 🤏🏾 🤏🏿
少儿不宜	少儿不宜 🔞
少兒不宜	少兒不宜 🔞
舌	舌 👅
舌头	舌头 👅
舌頭	舌頭 👅
蛇	蛇 🐍 𓆑 𓆓 𓆕 𓆗 𓆙 𓆚 🐍
蛇夫座	蛇夫座 ⛎
蛇年	蛇年 🐍
蛇头	蛇头 🐍
蛇頭	蛇頭 🐍
蛇杖	蛇杖 ⚕ ⚕️
社	社 ㊓ ㈳
社会主义核心价值观	社会主义核心价值观 富强、民主、文明、和谐、自由、平等、公正、法治、爱国、敬业、诚信、友善 富强 民主 文明 和谐 自由 平等 公正 法治 爱国 敬业 诚信 友善
射箭	射箭 🏹
射手座	射手座 ♐ ♐️
摄氏度	摄氏度 ℃
摄像	摄像 🎦 📹 🎦
摄像机	摄像机 📹
摄影	摄影 📹
摄影机	摄影机 🎥 📹 📹
攝像	攝像 🎦 📹 🎦
攝像機	攝像機 📹
攝影	攝影 📹
攝影機	攝影機 🎥 📹 📹
申	申 🈸 🈸️
申请	申请 🈸
申請	申請 🈸
身分	身分 🆔
身分证	身分证 🆔 🆔️ 🪪
身分證	身分證 🆔 🆔️ 🪪
身份	身份 🆔
身体乳	身体乳 🧴
身體乳	身體乳 🧴
身孕	身孕 🤰🏻 🫄🏻
绅士	绅士 🤵🏻 🤵🏻‍♂️
深夜	深夜 🌃
紳士	紳士 🤵🏻 🤵🏻‍♂️
什么	什么 🥴 🤔 😕 😖 😟
神马	神马 🐎 🐴
神馬	神馬 🐎 🐴
神庙	神庙 🏛 🏛️
神廟	神廟 🏛 🏛️
神社	神社 ⛩ ⛩️
神探	神探 🕵 🕵🏻‍♀ 🕵🏻‍♂ 🕵🏻
沈睡	沈睡 💤
沈思	沈思 😔
甚么	甚么 😟
甚麼	甚麼 😟
慎听	慎听 🙉
慎聽	慎聽 🙉
升	升 ㎕ ㎖ ㎗ ㎘ ㍑
升级	升级 🆙
生	生 🈢
生病	生病 😷 🤒 🤕 🤧 🤒
生蚝	生蚝 🦪
生化	生化 ☣ ☣️
生化品	生化品 ☣ ☣️
生化武器	生化武器 ☣ ☣️
生化物质	生化物质 ☣ ☣️
生化物質	生化物質 ☣ ☣️
生气	生气 😤 😡 😠 🤯 💢 🤬 👿 😾 🙎‍♂ 🙎 🙎‍♀ 🙎🏻‍♂ 🙎🏼‍♂ 🙎🏽‍♂ 🙎🏾‍♂ 🙎🏿‍♂ 🙎🏻 🙎🏼 🙎🏽 🙎🏾 🙎🏿 🙎🏻‍♀ 🙎🏼‍♀ 🙎🏽‍♀ 🙎🏾‍♀ 🙎🏿‍♀ 👿 💢 😤 😾
生氣	生氣 😾 😤 😠 😡 👿 💢 👿 💢 😤 😾
生日	生日 🎂
生日蛋糕	生日蛋糕 🎂
生肖	生肖 🐭 🐮 🐯 🐰 🐲 🐍 🐴 🐏 🐵 🐔 🐶 🐷 🐁 🐀 🐂 🐃 🐄 🐅 🐆 🐇 🐈 🐉 🐊 🐋 🐌 🐎 🐐 🐑 🐒 🦃 🐓 🐕 🐖 🐗 🐘 🐁 🐀 🐂 🐃 🐄 🦬 🐅 🐆 🐇 🐉 🐍 🐎 🐏 🐐 🐑 🐒 🦧 🦍 🦃 🐓 🐕 🦮 🐕‍🦺 🐖 🐗
声	声 🈤
声调	声调 ˉ ˊ ˇ ˋ ˆ ˙ ˜ ˥ ˦ ˧ ˨ ˩ ꜀ ꜁ ꜂ ꜃ ꜄ ꜅ ꜆ ꜇
声音	声音 🔇 🔈 🔉 🔊
牲畜	牲畜 🐄 🐃 🐂 🐐 🐏 🐖 🐑 🐕 🐩 🐈 🐄 🐃 🐂 🦬 🐐 🐏 🐖 🐑 🐕 🦮 🐕‍🦺 🐩 🐈 🐈‍⬛️
聲音	聲音 🔊
省略	省略 ……
省略号	省略号 ……
省省吧	省省吧 🙄
